"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN100984",0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0
"DN101171",0,2,0,2,1,1,5,0,0,10,1,0,8,0,0,0,0,1,0
"DN101513",0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0
"DN101954",0,0,1,2,1,0,0,2,0,2,0,2,3,0,0,1,0,2,0
"DN102633",0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0
"DN103412",0,0,24,0,29,1,14,0,2,13,2,0,47,1,1,0,2,0,0
"DN104816",0,0,2,2,2,0,0,1,0,1,0,0,3,0,0,0,1,0,0
"DN105152",0,0,1,1,0,0,0,2,0,1,0,0,5,1,0,2,4,0,2
"DN105263",0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1
"DN105624",0,4,12,12,0,0,0,4,0,8,0,0,12,4,0,0,0,0,0
"DN105651",0,0,0,0,3,0,0,1,1,0,0,0,3,0,0,0,0,0,0
"DN105673",0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"DN106388",629,205,881,456,329,372,388,238,1217,741,695,342,628,392,210,469,204,241,143
"DN106845",0,0,9,0,0,0,0,0,28,0,0,12,0,0,0,0,0,0,13
"DN106985",0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,3,0,1,0
"DN107183",1,1,3,1,3,0,1,5,2,0,7,2,0,0,0,1,3,0,1
"DN107295",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0
"DN108420",1,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0
"DN108423",0,0,1,1,1,0,0,1,0,0,2,0,1,2,0,0,0,0,0
"DN110241",0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
"DN110710",0,2,0,0,0,0,2,0,1,2,0,0,1,1,1,0,1,0,0
"DN110741",1,0,1,0,0,2,0,0,0,3,0,1,1,0,0,1,0,0,0
"DN110916",7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DN111671",0,0,0,0,1,0,0,0,1,5,0,1,0,0,0,0,0,0,0
"DN112007",0,0,0,1,0,0,2,0,1,7,1,0,11,0,0,0,0,0,1
"DN112160",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
"DN11218",0,0,2,0,0,1,0,2,0,0,0,0,1,1,0,0,2,0,2
"DN112268",0,0,3,0,1,1,2,0,2,2,1,2,5,0,1,2,0,0,1
"DN112723",0,15,0,0,24,0,2,25,0,2,11,0,0,0,12,0,0,0,0
"DN112868",0,0,2,2,1,2,2,0,0,0,1,1,16,0,3,3,0,5,2
"DN113599",0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
"DN114514",0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0
"DN114584",0,1,0,0,0,0,5,3,0,1,2,0,8,1,2,0,3,0,1
"DN116471",113,2,2,7,2,2,3,0,0,5,0,1,1,2,2,2,2,5,1
"DN116914",0,0,0,0,10,0,2,6,10,10,7,0,13,0,0,3,0,0,2
"DN117129",0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"DN117137",0,8,27,9,14,2,5,2,27,6,6,5,6,12,6,11,0,6,1
"DN117210",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0
"DN117486",0,0,0,0,1,1,0,0,0,0,5,0,5,0,0,0,0,0,0
"DN117663",0,0,3,3,1,0,0,0,4,0,1,5,0,6,0,0,0,0,4
"DN11778",0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0
"DN117829",0,0,0,0,1,0,0,6,0,0,17,0,0,0,0,0,0,0,0
"DN117897",0,0,0,0,0,1,0,0,0,0,31,0,0,0,10,0,43,0,0
"DN117981",1,0,2,0,2,0,1,1,3,0,0,1,0,1,2,0,3,2,0
"DN118338",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DN119626",1,0,2,0,0,4,0,0,2,0,1,0,3,2,0,5,0,3,0
"DN120023",1,3,2,1,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0
"DN121217",1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0
"DN121296",0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0
"DN121644",1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
"DN122103",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1
"DN122248",2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0
"DN122496",1,0,7,0,0,0,9,5,18,0,0,8,14,1,2,0,0,0,0
